"Case_Type","Cases","Difference","Date","Province_State","Admin2","Lat","Long"
"Confirmed",333,92,2020-03-31,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",333,0,2020-04-01,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",381,48,2020-04-02,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",441,60,2020-04-03,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",500,59,2020-04-04,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",608,108,2020-04-05,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",652,44,2020-04-06,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",718,66,2020-04-07,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",764,46,2020-04-08,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",764,0,2020-04-09,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",877,113,2020-04-10,"Colorado","Arapahoe",39.64977461,-104.3353617
"Confirmed",0,0,2020-01-22,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-23,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-24,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-25,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-26,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-27,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-28,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-29,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-30,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-01-31,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-01,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-02,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-03,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-04,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-05,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-06,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-07,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-08,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-09,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-10,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-11,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-12,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-13,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-14,"Colorado","Archuleta",37.19474156,-107.0476867
"Confirmed",0,0,2020-02-15,"Colorado","Archuleta",37.19474156,-107.0476867
